nid,id,name,description,resource_markdown
38,UBERON:0006330,anterior lingual gland,the small glands located near the apex of the tongue on either side of the frenulum,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0006330](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0006330).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0006330&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
39,UBERON:0006469,C1 segment of cervical spinal cord,The segment of the spinal cord that corresponds to the first cervical vertebra in most mammals.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0006469](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0006469).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0006469&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
40,UBERON:0006566,left ventricle myocardium,A myocardium that is part of a left ventricle of a heart.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0006566](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0006566).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0006566&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
41,UBERON:0006631,right atrium auricular region,A small conical muscular pouch attached to the right atrium of the heart.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0006631](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0006631).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0006631&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
42,UBERON:0006920,esophagus squamous epithelium,A squamous epithelium that is part of a esophagus.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0006920](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0006920).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0006920&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
43,UBERON:0007610,tibial artery,"The anterior and posterior arteries created at the bifurcation of the popliteal artery. The anterior tibial artery begins at the lower border of the popliteus muscle and lies along the tibia at the distal part of the leg to surface superficially anterior to the ankle joint. Its branches are distributed throughout the leg, ankle, and pes. The posterior tibial artery begins at the lower border of the popliteus muscle, lies behind the tibia in the lower part of its course, and is found situated between the medial malleolus and the medial process of the calcaneal tuberosity. Its branches are distributed throughout the leg and foot.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0007610](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0007610).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0007610&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
44,UBERON:0008367,breast epithelium,An epithelium that is part of a breast.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0008367](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0008367).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0008367&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
45,UBERON:0008952,upper lobe of left lung,The lobe of the left lung that is closest to the head.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0008952](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0008952).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0008952&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
46,UBERON:0009834,dorsolateral prefrontal cortex,"The dorsolateral prefrontal cortex (DL-PFC or DLPFC), according to a more restricted definition, is roughly equivalent to Brodmann areas 9 and 46. According to a broader definition DL-PFC consists of the lateral portions of Brodmann areas 9 - 12, of areas 45, 46, and the superior part of area 47. These regions mainly receive their blood supply from the middle cerebral artery. With respect to neurotransmitter systems, there is evidence that dopamine plays a particularly important role in DL-PFC.DL-PFC is connected to the orbitofrontal cortex, and to a variety of brain areas, which include the thalamus, parts of the basal ganglia (the dorsal caudate nucleus), the hippocampus, and primary and secondary association areas of neocortex, including posterior temporal, parietal, and occipital areas","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0009834](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0009834).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0009834&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
47,UBERON:0009835,anterior cingulate cortex,The frontal part of the cingulate cortex that resembles a collar form around the corpus callosum. It includes both the ventral and dorsal areas of the cingulate cortex. Wikipedia:File:Gray727.svg,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0009835](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0009835).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0009835&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
48,UBERON:0010414,omental fat pad,encapsulated adipose tissue associated with the fold of peritoneal tissue that extends from the stomach to the posterior abdominal wall after associating with the transverse colon,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0010414](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0010414).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0010414&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
49,UBERON:0011907,gastrocnemius medialis,.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0011907](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0011907).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0011907&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
50,UBERON:0012249,ectocervix,The part of the cervix uteri that protrudes into the vagina and is lined with stratified squamous epithelium.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0012249](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0012249).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0012249&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
51,UBERON:0013756,venous blood,A blood that is part of a vein.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0013756](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0013756).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0013756&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
52,UBERON:0036149,suprapubic skin,Area of skin in the hypoastric region of the abdomen.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0036149](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0036149).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0036149&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
53,UBERON:0000002,uterine cervix,"Lower, narrow portion of the uterus where it joins with the top end of the vagina.",
55,UBERON:0000029,lymph node,"Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph.",
56,UBERON:0000059,large intestine,A subdivision of the digestive tract that connects the small intestine to the cloaca or anus. Lacks or has few villi.,
57,UBERON:0000086,zona pellucida,"A glycoprotein membrane surrounding the plasma membrane of an oocyte. It is a vital constitutive part of the latter, external but not extraneous to it. The zona pellucida first appears in multilaminar primary oocytes.",
58,UBERON:0000173,amniotic fluid,"Amniotic fluid is a bodily fluid consisting of watery liquid surrounding and cushioning a growing fetus within the amnion. It allows the fetus to move freely without the walls of the uterus being too tight against its body. Buoyancy is also provided. The composition of the fluid changes over the course of gestation. Initially, amniotic fluid is similar to maternal plasma, mainly water with electrolytes. As the fetus develops, proteins, carbohydrates, lipids, phospholipids originating from the lungs, fetal cells, and urea are deposited in the fluid.",
59,UBERON:0000178,blood,A fluid that is composed of blood plasma and erythrocytes.,"::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000178&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
60,UBERON:0000305,amnion,"the thin innermost layer of the extraembryonic membranes that contains the amniotic fluid; the membrane forms a closed sac in which the embryo and later, the fetus, is suspended and protected",
61,UBERON:0000317,colonic mucosa,Mucosa that is part of a colon. The mucosa of the colon is lined by a simple columnar epithelium with a thin brush border and numerous goblet cells.,
62,UBERON:0000955,brain,"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell.","::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000955&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
63,UBERON:0000965,lens of camera-type eye,Transparent part of camera-type eye that helps to refract light to be focused on the retina.,
64,UBERON:0000966,retina,"The retina is the innermost layer or coating at the back of the eyeball, which is sensitive to light and in which the optic nerve terminates.",
65,UBERON:0000977,pleura,The invaginated serous membrane that surrounds the lungs (the visceral portion) and lines the walls of the pleural cavity (parietal portion).,
67,UBERON:0000997,mammalian vulva,external genital organs of the female mammal.,
68,UBERON:0001011,hemolymph,Blood analogue used by all arthropods and most mollusks that have an open circulatory system. In these animals there is no distinction between blood and interstitial fluid. The liquid fills all of the interior (the hemocoel) of the body and surrounds all cells.,
69,UBERON:0001040,yolk sac,"A sac-like expansion of the ventral wall of the intestine, narrowed into a yolk stalk near the body. Membranous sac attached to an embryo, providing early nourishment in the form of yolk in bony fishes, sharks, reptiles, birds, and primitive mammals. It functions as the developmental circulatory system of the human embryo, before internal circulation begins. In the mouse, the yolk sac is the first site of blood formation, generating primitive macrophages and erythrocytes.",
70,UBERON:0001088,urine,Excretion that is the output of a kidney,
71,UBERON:0001090,synovial fluid,Joint fluid is a transudate of plasma that is actively secreted by synovial cells.,
72,UBERON:0001155,colon,Last portion of the large intestine before it becomes the rectum.,
73,UBERON:0001264,pancreas,An endoderm derived structure that produces precursors of digestive enzymes and blood glucose regulating enzymes.,
74,UBERON:0001269,acetabular part of hip bone,"The acetabulum is a concave surface of the pelvis. The head of the femur meets with the pelvis at the acetabulum, forming the hip joint. There are three bones of the os coxae (hip bone) that come together to form the acetabulum. Contributing a little more than two-fifths of the structure is the ischium, which provides lower and side boundaries to the acetabulum. The ilium forms the upper boundary, providing a little less than two-fifths of the structure of the acetabulum. The rest is formed by the pubis, near the midline. It is bounded by a prominent uneven rim, which is thick and strong above, and serves for the attachment of the acetabular labrum, which reduces its opening, and deepens the surface for formation of the hip joint. At the lower part of the acetabulum is the acetabular notch, which is continuous with a circular depression, the acetabular fossa, at the bottom of the cavity of the acetabulum. The rest of the acetabulum is formed by a curved, crescent-moon shaped surface, the lunate surface, where the joint is made with the head of the femur. Its counterpart in the pectoral girdle is the glenoid fossa..",
75,UBERON:0001359,cerebrospinal fluid,"A clear, colorless, bodily fluid, that occupies the subarachnoid space and the ventricular system around and inside the brain and spinal cord.",
76,UBERON:0001831,parotid gland,"The parotid gland is the largest of the salivary glands. It is found wrapped around the mandibular ramus, and it secretes saliva through Stensen's duct into the oral cavity, to facilitate mastication and swallowing..",
77,UBERON:0001836,saliva,"A fluid produced in the oral cavity by salivary glands, typically used in predigestion, but also in other functions.",
78,UBERON:0001911,mammary gland,"A specialized accessory gland of the skin of mammals that secretes milk. The gland is typically only developed in females, and regresses in males.",
79,UBERON:0001913,milk,An emulsion of fat globules within a fluid that is secreted by the mammary gland during lactation.,
80,UBERON:0001914,colostrum,"The thin, yellow, serous fluid secreted by the mammary glands during pregnancy and immediately postpartum before lactation begins. It consists of immunologically active substances, white blood cells, water, protein, fat, and carbohydrates.",
81,UBERON:0001969,blood plasma,"The liquid component of blood, in which erythrocytes are suspended.",
82,UBERON:0001977,blood serum,The portion of blood plasma that excludes clotting factors.,
83,UBERON:0001987,placenta,"organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin. The fetal portion of the placenta is known as the villous chorion. The maternal portion is known as the decidua basalis. The two portions are held together by anchoring villi that are anchored to the decidua basalis by the cytotrophoblastic shell.",
85,UBERON:0002066,umbilical vein,The umbilical vein is a blood vessel present during fetal development that carries oxygenated blood from the placenta to the growing fetus..,
86,UBERON:0002097,skin of body,The organ covering the body that consists of the dermis and epidermis.,
88,UBERON:0002107,liver,"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes.",
89,UBERON:0002108,small intestine,"Subdivision of digestive tract that connects the stomach to the large intestine and is where much of the digestion and absorption of food takes place (with the exception of ruminants). The mammalian small intestine is long and coiled and can be differentiated histologically into: duodenum, jejunem, ileum.",
90,UBERON:0002113,kidney,A paired organ of the urinary tract which has the production of urine as its primary function.,
91,UBERON:0002131,anterior lobe of cerebellum,the region of the cerebellum that is anterior to the primary fissure,
92,UBERON:0002255,vomeronasal organ,"An organ thought to supplement the olfactory system in receiving pheromonic communication. The sensory part of the organ is in two long, thin sacs, situated on either side of the nasal septum at its base.",
93,UBERON:0002414,lumbar vertebra,"Large vertebra of the movable part of the vertebral column, characterized by the absence of the foramen transversarium within the transverse process, and by the absence of facets on the sides of the body.",
94,UBERON:0004134,proximal tubule,"In mammals, the proximal tubule is a nephron tubule that connects Bowman's capsule to the loop of Henle. It has a brush border epithelial morphology.",
95,UBERON:0006530,seminal fluid,A substance formed from the secretion of one or more glands of the male genital tract in which sperm cells are suspended.,
96,UBERON:0007779,transudate,"Any bodily fluid that has passed through a membrane such as the capillary wall, as a result of unbalanced hydrostatic and osmotic forces",
97,UBERON:0007795,ascitic fluid,The serous fluid which accumulates in the peritoneal cavity in ascites.,
98,UBERON:0002298,brainstem,Stalk-like part of the brain that includes amongst its parts the medulla oblongata of the hindbrain and the tegmentum of the midbrain.,
99,UBERON:0000010,peripheral nervous system,"A major division of the nervous system that contains nerves which connect the central nervous system (CNS) with sensory organs, other organs, muscles, blood vessels and glands.",
100,UBERON:0002240,spinal cord,"Part of the central nervous system located in the vertebral canal continuous with and caudal to the brain; demarcated from brain by plane of foramen magnum. It is composed of an inner core of gray matter in which nerve cells predominate, and an outer layer of white matter in which myelinated nerve fibers predominate, and surrounds the central canal. (CUMBO)",
101,UBERON:0001013,adipose tissue,Portion of connective tissue composed of adipocytes enmeshed in areolar tissue,
102,UBERON:0002410,autonomic nervous system,"The autonomic nervous system is composed of neurons that are not under conscious control, and is comprised of two antagonistic components, the sympathetic and parasympathetic nervous systems. The autonomic nervous system regulates key functions including the activity of the cardiac (heart) muscle, smooth muscles (e.g. of the gut), and glands.",
103,UBERON:0018707,bladder organ,A membranous sac in animals that serves as the receptacle of a liquid or contains gas.,
104,UBERON:0013702,body proper,The region of the organism associated with the visceral organs.,
105,UBERON:0002481,bone tissue,"Skeletal tissue with a collagen-rich extracellular matrix vascularized, mineralized with hydroxyapatite and typically including osteocytes located in lacunae that communicate with one another by cell processes (in canaliculi). Bone is deposited by osteoblasts.",
106,UBERON:0001348,brown adipose tissue,A thermogenic form of adipose tissue that is composed of brown adipocytes,
107,UBERON:0002008,cardiac nerve plexus,A plexus of nerves situated at the base of the heart that innervate the heart.,
108,UBERON:0002262,celiac ganglion,"The celiac ganglia are two large irregularly shaped masses of nerve tissue in the upper abdomen. Part of the sympathetic subdivision of the autonomic nervous system (ANS), the two celiac ganglia are the largest ganglia in the ANS, and they innervate most of the digestive tract. They have the appearance of lymph glands and are placed on either side of the midline in front of the crura of the diaphragm, close to the suprarenal glands (also called adrenal glands). The ganglion on the right side is placed behind the inferior vena cava. They are sometimes referred to as the semilunar ganglia or the solar ganglia..",
109,UBERON:0002441,cervicothoracic ganglion,the group of neurons formed by the fusion of the inferior cervical and first thoracic ganglia,
111,UBERON:0000044,dorsal root ganglion,"Sensory ganglia located on the dorsal spinal roots within the vertebral column. The spinal ganglion cells are pseudounipolar. The single primary branch bifurcates sending a peripheral process to carry sensory information from the periphery and a central branch which relays that information to the spinal cord or brain. (MSH) * ganglion found on the posterior root of each spinal nerve, composed of the unipolar nerve cell bodies of the sensory neurons of the nerve. (CSP)",
112,UBERON:0002005,enteric nervous system,"The enteric nervous system is composed of two ganglionated neural plexuses in the gut wall which form one of the three major divisions of the autonomic nervous system. The enteric nervous system innervates the gastrointestinal tract, the pancreas, and the gall bladder. It contains sensory neurons, interneurons, and motor neurons. Thus the circuitry can autonomously sense the tension and the chemical environment in the gut and regulate blood vessel tone, motility, secretions, and fluid transport. The system is itself governed by the central nervous system and receives both parasympathetic and sympathetic innervation.",
113,UBERON:0001649,glossopharyngeal nerve,"Cranial nerve that branches into the ramus communicans (to the skin), the pretrematic (to the walls of the pharynx and mouth, viscero-sensory fibers), and the larval post-trematic branch (lost in the adult).",
114,UBERON:0000948,heart,A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ.,
115,UBERON:0005363,inferior vagus X ganglion,"the large group of sensory neuron cell bodies, anterior to the jugular vein, associated with the vagus nerve (tenth cranial nerve)",
116,UBERON:0000160,intestine,"Segment of the alimentary canal extending from the stomach to the anus and, in humans and other mammals, consists of two segments, the small intestine and the large intestine.",
117,UBERON:0001556,lower urinary tract,Subdivision of urinary system which consists of the urinary bladder and the urethra.,
118,UBERON:0002048,lung,Respiration organ that develops as an outpocketing of the esophagus.,
119,UBERON:0002439,myenteric nerve plexus,"One of two ganglionated neural networks which together form the enteric nervous system. The myenteric (Auerbach's) plexus is located between the longitudinal and circular muscle layers of the gut. Its neurons project to the circular muscle, to other myenteric ganglia, to submucosal ganglia, or directly to the epithelium, and play an important role in regulating and patterning gut motility.",
120,UBERON:0001018,axon tract,"A group of axons linking two or more neuropils and having a common origin, termination.",
122,UBERON:0001884,phrenic nerve,A nerve that arises from the caudal cervical nerves and is primarily the motor nerve of the diaphragm but also sends sensory fibers to the pericardium.,
123,UBERON:0001322,sciatic nerve,"A large nerve that supplies nearly the whole of the skin of the leg, the muscles of the back of the thigh, and those of the leg and foot. It begins in the lower back and runs through the buttock and down the lower limb.",
124,UBERON:0002063,sinus venosus,The sinus venosus is a large cardiac chamber at the inflow tract that receives venous blood from systemic circulation. precedes the atrium on the venous side of the chordate heart.,
126,UBERON:0002059,submandibular ganglion,the ganglion associated with the lingual nerve that provides postsynaptic fibers to the submandibular and sublingual glands,
128,UBERON:0001759,vagus nerve,"Cranial nerve that branches into the lateral (to body sense organs) and the intestino-accessorial (to the skin, muscles of shoulder, hyoid, larynx, gut, lungs, and heart).",
129,UBERON:0001347,white adipose tissue,Connective tissue consisting of fat-storing cells and arranged in lobular groups or along minor blood vessels,
130,UBERON:0018675,pelvic splanchnic nerve,"A splanchnic nerves that arises from sacral spinal nerves S2, S3, S4 to provide parasympathetic innervation to the hindgut.",
131,UBERON:0004907,lower digestive tract,The region of the digestive tract extending from the beginning of the intestines to the anus.,
132,UBERON:0000057,urethra,"the fibromuscular tubular canal through which urine is discharged from the bladder to the exterior via the external urinary meatus; in males, the urethra is joined by the ejaculatory ducts and serves as a passageway for semen during ejaculation, as well as a canal for urine during voiding; in females, the urethra is shorter and emerges above the vaginal opening",
134,UBERON:0000003,naris,Orifice of the olfactory system. The naris is the route by which odorants enter the olfactory system.,
135,UBERON:0000004,nose,"The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity.",
137,UBERON:0000165,mouth,"The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening. In vertebrates, this extends to the pharynx and includes gums, lips, tongue and parts of the palate. Typically also includes the teeth, except where these occur elsewhere (e.g. pharyngeal jaws) or protrude from the mouth (tusks).",
138,UBERON:0000167,oral cavity,"Anatomical cavity at the start of the digestive tract that that is enclosed by the mouth. The boundaries and contents vary depending on the species. In vertebrates, the boundaries are the oral opening, the cheeks, the palate and (if present) the palatoglossal arch - if this is not present then the mouth and pharynx form the oropharyngeal cavity. The buccal cavity contains the teeth, tongue and palate (when present)","::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000167&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
140,UBERON:0000341,throat,"In anatomy, the throat is the anterior part of the neck, in front of the vertebral column. It consists of the pharynx and larynx. An important feature of the throat is the epiglottis, a flap which separates the esophagus from the trachea and prevents inhalation of food or drink. The throat contains various blood vessels, various pharyngeal muscles, the trachea (windpipe) and the esophagus. The hyoid bone and the clavicle are the only bones located in the throat of mammals. It is sometimes considered a synonym for fauces..",
141,UBERON:0000376,hindlimb stylopod,"The part of the hindlimb between pelvis and the knee, corresponding to the femur.",
142,UBERON:0000403,scalp,The outer covering of the calvaria. It is composed of several layers: SKIN; subcutaneous connective tissue; the occipitofrontal muscle which includes the tendonous galea aponeurotica; Loose connective tissue; and the pericranium (the PERIOSTEUM of the SKULL).,
143,UBERON:0000479,tissue,"Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.",
144,UBERON:0000916,abdomen,The subdivision of the vertebrate body between the thorax and pelvis. The ventral part of the abdomen contains the abdominal cavity and visceral organs. The dorsal part includes the abdominal section of the vertebral column.,
147,UBERON:0000964,cornea,the transparent anterior portion of the fibrous coat of the eye that serves as the chief refractory structure,
148,UBERON:0000970,eye,An organ that detects light.,
149,UBERON:0000976,humerus,Paired endochondral long bone that extends between the pectoral girdle and the skeletal parts of the forelimb.,
150,UBERON:0000978,leg,The portion of the hindlimb that contains both the stylopod and zeugopod.,
151,UBERON:0000979,tibia,The major preaxial endochondral bone in the posterior zeugopod.,
154,UBERON:0001004,respiratory system,Functional system which consists of structures involved in respiration.,
155,UBERON:0001005,respiratory airway,An airway through which respiratory air passes in organisms.,
156,UBERON:0001007,digestive system,"Anatomical system that has as its parts the organs devoted to the ingestion, digestion, and assimilation of food and the discharge of residual wastes.",
157,UBERON:0001008,renal system,"The renal system in an anatomical system that maintains fluid balance and contributes to electrolyte balance, acid/base balance, and disposal of nitrogenous waste products..","::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001008&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
